num,text,pos,aspect_tag,polarity
s_1,But,CCONJ,NAT,0
s_1,the,DET,NAT,0
s_1,staff,NOUN,AT,-1
s_1,was,AUX,NAT,0
s_1,so,ADV,NAT,0
s_1,horrible,ADJ,NAT,0
s_1,to,ADP,NAT,0
s_1,us,PRON,NAT,0
s_1,.,PUNCT,NAT,0
s_2,To,PART,NAT,0
s_2,be,AUX,NAT,0
s_2,completely,ADV,NAT,0
s_2,fair,ADJ,NAT,0
s_2,",",PUNCT,NAT,0
s_2,the,DET,NAT,0
s_2,only,ADJ,NAT,0
s_2,redeeming,VERB,NAT,0
s_2,factor,NOUN,NAT,0
s_2,was,AUX,NAT,0
s_2,the,DET,NAT,0
s_2,food,NOUN,AT,1
s_2,",",PUNCT,NAT,0
s_2,which,PRON,NAT,0
s_2,was,AUX,NAT,0
s_2,above,ADP,NAT,0
s_2,average,ADJ,NAT,0
s_2,",",PUNCT,NAT,0
s_2,but,CCONJ,NAT,0
s_2,could,AUX,NAT,0
s_2,n't,PART,NAT,0
s_2,make,VERB,NAT,0
s_2,up,ADP,NAT,0
s_2,for,ADP,NAT,0
s_2,all,DET,NAT,0
s_2,the,DET,NAT,0
s_2,other,ADJ,NAT,0
s_2,deficiencies,NOUN,NAT,0
s_2,of,ADP,NAT,0
s_2,Teodora,PROPN,NAT,0
s_2,.,PUNCT,NAT,0
s_3,The,DET,NAT,0
s_3,food,NOUN,AT,1
s_3,is,AUX,NAT,0
s_3,uniformly,ADV,NAT,0
s_3,exceptional,ADJ,NAT,0
s_3,",",PUNCT,NAT,0
s_3,with,ADP,NAT,0
s_3,a,DET,NAT,0
s_3,very,ADV,NAT,0
s_3,capable,ADJ,NAT,0
s_3,kitchen,NOUN,AT,1
s_3,which,PRON,NAT,0
s_3,will,AUX,NAT,0
s_3,proudly,ADV,NAT,0
s_3,whip,VERB,NAT,0
s_3,up,ADP,NAT,0
s_3,whatever,PRON,NAT,0
s_3,you,PRON,NAT,0
s_3,feel,VERB,NAT,0
s_3,like,ADP,NAT,0
s_3,eating,VERB,NAT,0
s_3,",",PUNCT,NAT,0
s_3,whether,SCONJ,NAT,0
s_3,it,PRON,NAT,0
s_3,'s,AUX,NAT,0
s_3,on,ADP,NAT,0
s_3,the,DET,NAT,0
s_3,menu,NOUN,AT,0
s_3,or,CCONJ,NAT,0
s_3,not,PART,NAT,0
s_3,.,PUNCT,NAT,0
s_4,Not,PART,NAT,0
s_4,only,ADV,NAT,0
s_4,was,AUX,NAT,0
s_4,the,DET,NAT,0
s_4,food,NOUN,AT,1
s_4,outstanding,ADJ,NAT,0
s_4,",",PUNCT,NAT,0
s_4,but,CCONJ,NAT,0
s_4,the,DET,NAT,0
s_4,little,ADJ,NAT,0
s_4,',PUNCT,NAT,0
s_4,perks,NOUN,AT,1
s_4,',PUNCT,NAT,0
s_4,were,AUX,NAT,0
s_4,great,ADJ,NAT,0
s_4,.,PUNCT,NAT,0
s_5,Our,PRON,NAT,0
s_5,agreed,VERB,NAT,0
s_5,favorite,NOUN,NAT,0
s_5,is,AUX,NAT,0
s_5,the,DET,NAT,0
s_5,orrechiete,NOUN,AT,1
s_5,with,ADP,AT,1
s_5,sausage,NOUN,AT,1
s_5,and,CCONJ,AT,1
s_5,chicken,NOUN,AT,1
s_5,(,PUNCT,NAT,0
s_5,usually,ADV,NAT,0
s_5,the,DET,NAT,0
s_5,waiters,NOUN,AT,1
s_5,are,AUX,NAT,0
s_5,kind,ADJ,NAT,0
s_5,enough,ADV,NAT,0
s_5,to,PART,NAT,0
s_5,split,VERB,NAT,0
s_5,the,DET,NAT,0
s_5,dish,NOUN,AT,0
s_5,in,ADP,NAT,0
s_5,half,NOUN,NAT,0
s_5,so,ADV,NAT,0
s_5,you,PRON,NAT,0
s_5,get,VERB,NAT,0
s_5,to,PART,NAT,0
s_5,sample,VERB,NAT,0
s_5,both,DET,NAT,0
s_5,meats,NOUN,AT,0
s_5,),PUNCT,NAT,0
s_5,.,PUNCT,NAT,0
s_6,The,DET,NAT,0
s_6,Bagels,PROPN,AT,1
s_6,have,VERB,NAT,0
s_6,an,DET,NAT,0
s_6,outstanding,ADJ,NAT,0
s_6,taste,NOUN,NAT,0
s_6,with,ADP,NAT,0
s_6,a,DET,NAT,0
s_6,terrific,ADJ,NAT,0
s_6,texture,NOUN,NAT,0
s_6,",",PUNCT,NAT,0
s_6,both,DET,NAT,0
s_6,chewy,NOUN,NAT,0
s_6,yet,ADV,NAT,0
s_6,not,PART,NAT,0
s_6,gummy,ADJ,NAT,0
