business_name,business_index,review,user_id
Khansama Tandoori,khansama-tandoori-singapore,"So far, my fav restaurant in Little India. I have been here a couple of times, and will be back for more...  Anything from the tandoori oven is great, as well as lamb dishes ...and the dal makhani.  Rice biriani also good.  Butter chicken may be the only thing so far that was just meh.About the venue:  I have to say that the fact that there are no windows in the upstairs room is a bit strange! :-)",Nv_gr_ujHLRQ8_y0MjfKnw
Khansama Tandoori,khansama-tandoori-singapore,"I'm a regular at Khansama ever since i moved to Singapore about a year ago. This is my ""Happy Place"". I go here every weekend and atleast twice during the week.The food:Authentic, yummy, delicious North Indian food. You will *NOT* be disappointed! My favorite order here is the Chicken Tikka Masala with some Kulcha. The meat is always done just right, lots of flavor in portions that aren't too large, and aren't too small. A portion of curry here would serve two people just about.Recommend:Non Vegetarian:- Chicken Tikka Masala- Mutton Biryani- King PrawnsVegetarian:- Dal MakhniBreads:- Masala Kulcha- Rumali RotiThe service:The staff is very friendly, contrary to other reviews here. Just set up a conversation and remember that this is a very popular restaurant that's packed to the limit almost everyday so they're bound to be a little busyThe chairs:Oh gawd, this is the worst part! They're not comfortable at all no matter what size you are. There's no clearance between the chair and the table so it's a really awkward way to sit. The food makes it up for everything though :)Price:A typical meal for one here without alcohol comes to ~SGD $28 - $35. Remember to pay with ""Nets"" which is a state controlled payment method that has no fees compared to Visa which will tack on a few more dollars ;)",rwcQ7wgzmTr0cHcJ8e_ZfA
Khansama Tandoori,khansama-tandoori-singapore,"Excellent quick service, I had so many people waiting on me at the rush hour I was amazed. The food was great and I even ordered more to take home with me. I tried the mutton curry and it was excellent. I ended up bringing some chicken home with me and it was awesome.I definitely will be eating at this place again.",eeNJj7clxxalXJVKQibTyQ
Khansama Tandoori,khansama-tandoori-singapore,"Yes, yes, yes, yes, YES. The spice, the flavours, the bustling outdoor seating, the naan (oh god the naan), it was like each and every dish they brought out was better than the last. The menu was a feast in itself - I knew it would be bad (read: really freaking good) when there were 7 types of naan to choose from, but it got to the point where we were all just pointing and shouting and gesticulating wildly. As for the dishes that I dug into? The chicken tikka masala was dark, rich and spicy and the kadahi prawn was easily the best prawn dish I've ever had, but the real stand out was the super decadent chicken mughlayee. It was one of those situations where we wanted everything we saw going out to tables around us, so I doubt you'll go wrong. We were a bit surprised with the relatively high prices and rather slow food service (waiters were attentive, but it just took a reeeeeally long time for our food to arrive) but the second the food came out, all was forgiven and forgotten. All I can remember now is the food korma I had for the next several hours.",BUB_t_Rvzs1yPEzZipkWjw
Khansama Tandoori,khansama-tandoori-singapore,Very good tandoori chicken that goes great with the Strong indian beer (Haywards 5000). This is how the food is cooked back in a tandoori restaurant in India. Very good mughlai pasanda (better than the usual butter chicken which is good in itself). Good Indian food like the one in India. Reasonable pricing too.,1tQfj737uhgdKcQ-5akTdA
Khansama Tandoori,khansama-tandoori-singapore,"This is a review of a dinner date at Khansama Tandoori.tinyurl.com/amlyu3sThis is actually my second visit to Khansama.  I thought I had previously reviewed it.  I uploaded the photos but I must have forgotten to write the review.I will focus my review on my most recent visit.Khansama offers street-side outdoor seating and indoor seating (upstairs).  The outdoor seating was mainly full.  The restaurant does use staff on the street working very diligently and trying to get customers to eat there.tinyurl.com/aj7amvgThe indoor seating area is quite beautiful.  It is an odd combination though.  The room is very ornate.  The table tops are some type of granite or faux-granite.  But the chairs (and the plates) are plastic.  The first seat I sat in basically gave way.  Luckily, I did not spill onto the floor.On this evening, the indoor seating area was mainly empty.  tinyurl.com/bat3zcxThe staff was friendly, professional, and efficient. They are very attentive and helpful.  The order is quickly taken.  The food comes out quite fast.  They did insure there was a little staging with the starters versus the appetizers.  But, like most Indian restaurants, this is a relatively fast paced meal.I thought the food was pretty good.  My dinner companion thought that it was a bit spicy.  This included some dishes that are not necessarily usually on the hot side.  I expect it from a chicken vindaloo but not necessarily from a prawn masala. I actually didn't find it that spicy though.The starters were all quite good.  I thought the vegetarian samosas, Noor-eh-Elahi, and vegetarian pakora were delicious and also offered nice crisp textures.  I was less fond of the paneer pakora.  But that is primarily a person taste issue.tinyurl.com/b6as2wqtinyurl.com/bepc73btinyurl.com/a9xcwkxFor mains to share, I selected chicken vindaloo and prawn masala.For mains to share, she selected palak paneer and palak chicken.  She thought she had ordered only one dish.  The ordering was pretty frenzied so I am not sure.I thought the food was very good.  Lol, I especially enjoyed my two selections.   The vindaloo was spicy.  The chicken was tender.  The potatoes were well prepared.  For the prawn masala, the shrimp was also tender and the dish came together quite well.  I only dabbled a bit with her spinach laden selections.Of course, we also had saffron rice and naan (plain and garlic).I thought the rice was spot on.  The naan was only average.  The garlic naan just didn't seem to have that super freshly cooked garlic flavour that really makes great garlic naan great.tinyurl.com/a85z75uReceipt ($114.00):You can't really beat getting that much food for $114.tinyurl.com/a85z75uWe had way too much food and unfortunately neither of us are doggy bag people.  So, we left a lot of food on the table.  That was a shame.  I thought it was some pretty good Indian food.Overall, I like the room.  The service was good.  I thought the quality of the food was consistently there.  I do not think my friend enjoyed it nearly as much.  For me, it was a solid 3.5 stars but I rounded up.(another note, my first experience was very much in-line with my second visit)",3S53VaMDPy8Lywk2TuPb4A
Khansama Tandoori,khansama-tandoori-singapore,"Every dish we got was excellent: vegetable pakora, agra chaat, garlic naan, fish tikka and aloo matter.  Service was quick and attentive.",dmq0nRDZBHzj0l9CBVnDsQ
Khansama Tandoori,khansama-tandoori-singapore,Awesome Flavors (flavours) central Little India!  Portion sizes are perfect for sharing.  Great drive menu.  Top notch service!!!,gOY-ASHCuoKljX8EPN9Xyw
Khansama Tandoori,khansama-tandoori-singapore,"We went here for lunch on a Friday afternoon. It wasn't crowded. We were seated upstairs. They have two options - upstairs has ac and downstairs just fans. It was a hot and humid day in Singapore so we decided to sit upstairs. They have a lot of items in their menu. It will take you sometime to go through it to make a choice. We ordered starters and main course. Food was good, but it was pricey. Service was quick and the place was clean but nothing fancy.",cC0K9xQ-5s92-8jSVmdKgw
Khansama Tandoori,khansama-tandoori-singapore,Not usually the biggest Indian food lover but Wow was this place awesome. Just happened to stubble upon the restaurant walking down little India. Everyone ordered something different and we all shared and loved it. Services super nice will come back. Best food in SIN.,NKun6YMkmMXJXgj5UcybmQ
